Date : 2025-07-14 15:40:17
Directory : /Users/karanocave/Code/SmartLabManagement
Total : 141 files,  99 codes, 5063 comments, -1100 blanks, all 4062 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| fronted/src                                                                                                                                          |        112 |     -3,226 |        352 |     -1,778 |     -4,652 |
| fronted/src (Files)                                                                                                                                  |          3 |        -76 |         18 |         -8 |        -66 |
| fronted/src/api                                                                                                                                      |          1 |          2 |          0 |          0 |          2 |
| fronted/src/client                                                                                                                                   |         97 |     -3,625 |        336 |     -1,777 |     -5,066 |
| fronted/src/client (Files)                                                                                                                           |          2 |        118 |        336 |         17 |        471 |
| fronted/src/client/docs                                                                                                                              |         95 |     -3,743 |          0 |     -1,794 |     -5,537 |
| fronted/src/components                                                                                                                               |          3 |        179 |         -1 |         -4 |        174 |
| fronted/src/components/common                                                                                                                        |          1 |         35 |         -3 |         -2 |         30 |
| fronted/src/components/layout                                                                                                                        |          2 |        144 |          2 |         -2 |        144 |
| fronted/src/pages                                                                                                                                    |          6 |        274 |         -2 |          7 |        279 |
| fronted/src/pages/audit                                                                                                                              |          1 |        124 |         11 |         15 |        150 |
| fronted/src/pages/auth                                                                                                                               |          1 |         70 |        -12 |         -4 |         54 |
| fronted/src/pages/dashboard                                                                                                                          |          1 |         45 |         -1 |         -3 |         41 |
| fronted/src/pages/project                                                                                                                            |          3 |         35 |          0 |         -1 |         34 |
| fronted/src/pages/project/detail                                                                                                                     |          2 |          1 |          0 |         -1 |          0 |
| fronted/src/pages/project/detail/tabs                                                                                                                |          2 |          1 |          0 |         -1 |          0 |
| fronted/src/router                                                                                                                                   |          1 |          2 |          1 |          1 |          4 |
| fronted/src/store                                                                                                                                    |          1 |         18 |          0 |          3 |         21 |
+------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| filename                                                                                                                                             | language       | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| /Users/karanocave/Code/SmartLabManagement/Database/.idea/sqldialects.xml                                                                             | XML            |          2 |          0 |          0 |          2 |
| /Users/karanocave/Code/SmartLabManagement/Database/after.sql                                                                                         | MS SQL         |          6 |          3 |          5 |         14 |
| /Users/karanocave/Code/SmartLabManagement/Database/right.sql                                                                                         | MS SQL         |         34 |         25 |         19 |         78 |
| /Users/karanocave/Code/SmartLabManagement/backend/src/main/java/com/labmanagement/backend/LabPlatformApplication.java                                | Java           |         -1 |          0 |          0 |         -1 |
| /Users/karanocave/Code/SmartLabManagement/backend/src/main/java/com/labmanagement/backend/common/handler/GlobalExceptionHandler.java                 | Java           |         16 |        -18 |          1 |         -1 |
| /Users/karanocave/Code/SmartLabManagement/backend/src/main/java/com/labmanagement/backend/common/utils/JwtUtil.java                                  | Java           |          3 |         -3 |          2 |          2 |
| /Users/karanocave/Code/SmartLabManagement/backend/src/main/java/com/labmanagement/backend/modules/auth/controller/AuthController.java                | Java           |         22 |          3 |          8 |         33 |
| /Users/karanocave/Code/SmartLabManagement/backend/src/main/java/com/labmanagement/backend/modules/auth/dto/LoginResponseVO.java                      | Java           |          4 |         24 |          6 |         34 |
| /Users/karanocave/Code/SmartLabManagement/backend/src/main/java/com/labmanagement/backend/modules/log/controller/LogController.java                  | Java           |         24 |         18 |          6 |         48 |
| /Users/karanocave/Code/SmartLabManagement/backend/src/main/java/com/labmanagement/backend/modules/log/mapper/AuditLogMapper.java                     | Java           |          0 |          0 |         -1 |         -1 |
| /Users/karanocave/Code/SmartLabManagement/backend/src/main/java/com/labmanagement/backend/modules/project/controller/ExperimentReportController.java | Java           |          0 |          0 |         -1 |         -1 |
| /Users/karanocave/Code/SmartLabManagement/backend/src/main/java/com/labmanagement/backend/modules/resource/controller/EquipmentController.java       | Java           |          2 |        -33 |          0 |        -31 |
| /Users/karanocave/Code/SmartLabManagement/backend/src/main/java/com/labmanagement/backend/modules/resource/controller/MaterialController.java        | Java           |          5 |        -13 |          1 |         -7 |
| /Users/karanocave/Code/SmartLabManagement/backend/src/main/java/com/labmanagement/backend/modules/resource/dto/EquipmentUpdateDTO.java               | Java           |         21 |          7 |         14 |         42 |
| /Users/karanocave/Code/SmartLabManagement/backend/src/main/java/com/labmanagement/backend/modules/resource/dto/MaterialCreateDTO.java                | Java           |         22 |          7 |         11 |         40 |
| /Users/karanocave/Code/SmartLabManagement/backend/src/main/java/com/labmanagement/backend/modules/resource/dto/MaterialUpdateDTO.java                | Java           |         20 |          7 |         13 |         40 |
| /Users/karanocave/Code/SmartLabManagement/backend/src/main/java/com/labmanagement/backend/modules/resource/service/EquipmentService.java             | Java           |          4 |         -1 |          0 |          3 |
| /Users/karanocave/Code/SmartLabManagement/backend/src/main/java/com/labmanagement/backend/modules/resource/service/MaterialService.java              | Java           |          4 |         10 |          2 |         16 |
| /Users/karanocave/Code/SmartLabManagement/backend/src/main/java/com/labmanagement/backend/modules/resource/service/impl/EquipmentServiceImpl.java    | Java           |         23 |        -14 |          0 |          9 |
| /Users/karanocave/Code/SmartLabManagement/backend/src/main/java/com/labmanagement/backend/modules/resource/service/impl/MaterialServiceImpl.java     | Java           |         23 |          2 |          2 |         27 |
| /Users/karanocave/Code/SmartLabManagement/backend/src/main/java/com/labmanagement/backend/modules/system/entity/User.java                            | Java           |         25 |        -30 |          9 |          4 |
| /Users/karanocave/Code/SmartLabManagement/backend/src/main/java/com/labmanagement/backend/security/filter/JwtAuthenticationFilter.java               | Java           |         14 |         -4 |          2 |         12 |
| /Users/karanocave/Code/SmartLabManagement/backend/src/main/java/com/labmanagement/backend/security/provider/UserDetailsServiceImpl.java              | Java           |         -9 |        -23 |          1 |        -31 |
| /Users/karanocave/Code/SmartLabManagement/fronted/client/api.ts                                                                                      | TypeScript     |      2,899 |      4,567 |        544 |      8,010 |
| /Users/karanocave/Code/SmartLabManagement/fronted/client/base.ts                                                                                     | TypeScript     |         37 |         39 |         11 |         87 |
| /Users/karanocave/Code/SmartLabManagement/fronted/client/common.ts                                                                                   | TypeScript     |         83 |         54 |         14 |        151 |
| /Users/karanocave/Code/SmartLabManagement/fronted/client/configuration.ts                                                                            | TypeScript     |         39 |         71 |          6 |        116 |
| /Users/karanocave/Code/SmartLabManagement/fronted/client/index.ts                                                                                    | TypeScript     |          2 |         13 |          4 |         19 |
| /Users/karanocave/Code/SmartLabManagement/fronted/index.html                                                                                         | HTML           |          1 |          0 |         -1 |          0 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/App.css                                                                                        | PostCSS        |        -37 |          0 |         -6 |        -43 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/api/index.ts                                                                                   | TypeScript     |          2 |          0 |          0 |          2 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/api.ts                                                                                  | TypeScript     |        118 |        338 |         17 |        473 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/base.ts                                                                                 | TypeScript     |          0 |         -2 |          0 |         -2 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/AddProjectMemberDTO.md                                                             | Markdown       |        -17 |          0 |         -8 |        -25 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ApiResponseAttachmentVO.md                                                         | Markdown       |        -17 |          0 |         -8 |        -25 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ApiResponseEquipment.md                                                            | Markdown       |        -17 |          0 |         -8 |        -25 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ApiResponseExperimentRecord.md                                                     | Markdown       |        -17 |          0 |         -8 |        -25 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ApiResponseExperimentReportVO.md                                                   | Markdown       |        -17 |          0 |         -8 |        -25 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ApiResponseIPageEquipment.md                                                       | Markdown       |        -17 |          0 |         -8 |        -25 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ApiResponseIPageExperimentRecord.md                                                | Markdown       |        -17 |          0 |         -8 |        -25 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ApiResponseIPageLab.md                                                             | Markdown       |        -17 |          0 |         -8 |        -25 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ApiResponseIPageMaterial.md                                                        | Markdown       |        -17 |          0 |         -8 |        -25 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ApiResponseIPageProjectVO.md                                                       | Markdown       |        -17 |          0 |         -8 |        -25 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ApiResponseIPageResourceRequestVO.md                                               | Markdown       |        -17 |          0 |         -8 |        -25 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ApiResponseIPageSafetyIncidentVO.md                                                | Markdown       |        -17 |          0 |         -8 |        -25 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ApiResponseIPageSupplier.md                                                        | Markdown       |        -17 |          0 |         -8 |        -25 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ApiResponseIPageUserVO.md                                                          | Markdown       |        -17 |          0 |         -8 |        -25 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ApiResponseLab.md                                                                  | Markdown       |        -17 |          0 |         -8 |        -25 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ApiResponseListPermission.md                                                       | Markdown       |        -17 |          0 |         -8 |        -25 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ApiResponseListProjectTask.md                                                      | Markdown       |        -17 |          0 |         -8 |        -25 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ApiResponseListRiskAssessmentVO.md                                                 | Markdown       |        -17 |          0 |         -8 |        -25 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ApiResponseListRole.md                                                             | Markdown       |        -17 |          0 |         -8 |        -25 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ApiResponseLoginResponseVO.md                                                      | Markdown       |        -17 |          0 |         -8 |        -25 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ApiResponseMaterial.md                                                             | Markdown       |        -17 |          0 |         -8 |        -25 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ApiResponseObject.md                                                               | Markdown       |        -17 |          0 |         -8 |        -25 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ApiResponseProjectTask.md                                                          | Markdown       |        -17 |          0 |         -8 |        -25 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ApiResponseProjectVO.md                                                            | Markdown       |        -17 |          0 |         -8 |        -25 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ApiResponseResourceRequestVO.md                                                    | Markdown       |        -17 |          0 |         -8 |        -25 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ApiResponseRiskAssessmentVO.md                                                     | Markdown       |        -17 |          0 |         -8 |        -25 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ApiResponseRole.md                                                                 | Markdown       |        -17 |          0 |         -8 |        -25 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ApiResponseSafetyIncidentVO.md                                                     | Markdown       |        -17 |          0 |         -8 |        -25 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ApiResponseSupplier.md                                                             | Markdown       |        -17 |          0 |         -8 |        -25 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ApiResponseUserVO.md                                                               | Markdown       |        -17 |          0 |         -8 |        -25 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ApiResponseVoid.md                                                                 | Markdown       |        -17 |          0 |         -8 |        -25 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/AssignPermissionsToRoleDTO.md                                                      | Markdown       |        -15 |          0 |         -8 |        -23 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/AssignRolesToUserDTO.md                                                            | Markdown       |        -15 |          0 |         -8 |        -23 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/AttachmentControllerApi.md                                                         | Markdown       |        -46 |          0 |        -23 |        -69 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/AttachmentVO.md                                                                    | Markdown       |        -27 |          0 |         -8 |        -35 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/AuthControllerApi.md                                                               | Markdown       |        -40 |          0 |        -23 |        -63 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/Equipment.md                                                                       | Markdown       |        -35 |          0 |         -8 |        -43 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/EquipmentControllerApi.md                                                          | Markdown       |       -188 |          0 |        -99 |       -287 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/EquipmentCreateDTO.md                                                              | Markdown       |        -25 |          0 |         -8 |        -33 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ExperimentRecord.md                                                                | Markdown       |        -29 |          0 |         -8 |        -37 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ExperimentRecordControllerApi.md                                                   | Markdown       |       -114 |          0 |        -61 |       -175 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ExperimentRecordCreateDTO.md                                                       | Markdown       |        -19 |          0 |         -8 |        -27 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ExperimentReportControllerApi.md                                                   | Markdown       |       -114 |          0 |        -61 |       -175 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ExperimentReportCreateDTO.md                                                       | Markdown       |        -17 |          0 |         -8 |        -25 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ExperimentReportVO.md                                                              | Markdown       |        -31 |          0 |         -8 |        -39 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/IPageEquipment.md                                                                  | Markdown       |        -21 |          0 |         -8 |        -29 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/IPageExperimentRecord.md                                                           | Markdown       |        -21 |          0 |         -8 |        -29 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/IPageLab.md                                                                        | Markdown       |        -21 |          0 |         -8 |        -29 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/IPageMaterial.md                                                                   | Markdown       |        -21 |          0 |         -8 |        -29 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/IPageProjectVO.md                                                                  | Markdown       |        -21 |          0 |         -8 |        -29 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/IPageResourceRequestVO.md                                                          | Markdown       |        -21 |          0 |         -8 |        -29 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/IPageSafetyIncidentVO.md                                                           | Markdown       |        -21 |          0 |         -8 |        -29 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/IPageSupplier.md                                                                   | Markdown       |        -21 |          0 |         -8 |        -29 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/IPageUserVO.md                                                                     | Markdown       |        -21 |          0 |         -8 |        -29 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/Lab.md                                                                             | Markdown       |        -23 |          0 |         -8 |        -31 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/LabControllerApi.md                                                                | Markdown       |       -185 |          0 |        -99 |       -284 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/LoginRequestDTO.md                                                                 | Markdown       |        -15 |          0 |         -8 |        -23 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/LoginResponseVO.md                                                                 | Markdown       |        -15 |          0 |         -8 |        -23 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/Material.md                                                                        | Markdown       |        -29 |          0 |         -8 |        -37 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/MaterialControllerApi.md                                                           | Markdown       |       -151 |          0 |        -80 |       -231 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/MaterialStockAdjustDTO.md                                                          | Markdown       |        -19 |          0 |         -8 |        -27 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/PageRequestDTO.md                                                                  | Markdown       |        -15 |          0 |         -8 |        -23 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/Permission.md                                                                      | Markdown       |        -19 |          0 |         -8 |        -27 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/PermissionControllerApi.md                                                         | Markdown       |        -34 |          0 |        -21 |        -55 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ProjectControllerApi.md                                                            | Markdown       |       -259 |          0 |       -137 |       -396 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ProjectCreateDTO.md                                                                | Markdown       |        -21 |          0 |         -8 |        -29 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ProjectMemberVO.md                                                                 | Markdown       |        -17 |          0 |         -8 |        -25 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ProjectTask.md                                                                     | Markdown       |        -29 |          0 |         -8 |        -37 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ProjectTaskControllerApi.md                                                        | Markdown       |       -149 |          0 |        -80 |       -229 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ProjectTaskCreateDTO.md                                                            | Markdown       |        -21 |          0 |         -8 |        -29 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ProjectTaskUpdateDTO.md                                                            | Markdown       |        -21 |          0 |         -8 |        -29 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ProjectUpdateDTO.md                                                                | Markdown       |        -25 |          0 |         -8 |        -33 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ProjectVO.md                                                                       | Markdown       |        -31 |          0 |         -8 |        -39 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ReportVersionCreateDTO.md                                                          | Markdown       |        -13 |          0 |         -8 |        -21 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ResourceRequestApproveDTO.md                                                       | Markdown       |        -17 |          0 |         -8 |        -25 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ResourceRequestControllerApi.md                                                    | Markdown       |       -147 |          0 |        -80 |       -227 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ResourceRequestCreateDTO.md                                                        | Markdown       |        -23 |          0 |         -8 |        -31 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ResourceRequestQueryDTO.md                                                         | Markdown       |        -19 |          0 |         -8 |        -27 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ResourceRequestVO.md                                                               | Markdown       |        -41 |          0 |         -8 |        -49 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/RiskAssessmentControllerApi.md                                                     | Markdown       |       -110 |          0 |        -61 |       -171 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/RiskAssessmentCreateDTO.md                                                         | Markdown       |        -21 |          0 |         -8 |        -29 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/RiskAssessmentVO.md                                                                | Markdown       |        -29 |          0 |         -8 |        -37 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/Role.md                                                                            | Markdown       |        -17 |          0 |         -8 |        -25 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/RoleControllerApi.md                                                               | Markdown       |       -106 |          0 |        -59 |       -165 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/RoleCreateDTO.md                                                                   | Markdown       |        -15 |          0 |         -8 |        -23 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/SafetyIncidentControllerApi.md                                                     | Markdown       |       -111 |          0 |        -61 |       -172 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/SafetyIncidentCreateDTO.md                                                         | Markdown       |        -19 |          0 |         -8 |        -27 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/SafetyIncidentVO.md                                                                | Markdown       |        -29 |          0 |         -8 |        -37 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/Supplier.md                                                                        | Markdown       |        -25 |          0 |         -8 |        -33 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/SupplierControllerApi.md                                                           | Markdown       |       -185 |          0 |        -99 |       -284 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/UploadAttachmentRequest.md                                                         | Markdown       |        -13 |          0 |         -8 |        -21 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/UserControllerApi.md                                                               | Markdown       |       -221 |          0 |       -118 |       -339 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/UserCreateDTO.md                                                                   | Markdown       |        -23 |          0 |         -8 |        -31 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/UserUpdateDTO.md                                                                   | Markdown       |        -21 |          0 |         -8 |        -29 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/UserVO.md                                                                          | Markdown       |        -29 |          0 |         -8 |        -37 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/components/common/DataTable.tsx                                                                | TypeScript JSX |         35 |         -3 |         -2 |         30 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/components/layout/AuthLayout.tsx                                                               | TypeScript JSX |          1 |         -7 |         -1 |         -7 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/components/layout/DashboardLayout.tsx                                                          | TypeScript JSX |        143 |          9 |         -1 |        151 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/index.css                                                                                      | PostCSS        |        -45 |         18 |         -2 |        -29 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/main.tsx                                                                                       | TypeScript JSX |          6 |          0 |          0 |          6 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/pages/audit/LogPage.tsx                                                                        | TypeScript JSX |        124 |         11 |         15 |        150 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/pages/auth/LoginPage.tsx                                                                       | TypeScript JSX |         70 |        -12 |         -4 |         54 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/pages/dashboard/OverviewPage.tsx                                                               | TypeScript JSX |         45 |         -1 |         -3 |         41 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/pages/project/ProjectListPage.tsx                                                              | TypeScript JSX |         34 |          0 |          0 |         34 |
