Date : 2025-07-13 14:38:30
Directory : /Users/karanocave/Code/SmartLabManagement/fronted
Total : 160 files,  17563 codes, 4949 comments, 2824 blanks, all 25336 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| src/pages/safety                                                                                           |          1 |         83 |         10 |         12 |        105 |
| src/router                                                                                                 |          3 |        106 |         60 |         27 |        193 |
| src/store                                                                                                  |          2 |         29 |         28 |          8 |         65 |
| src/styles                                                                                                 |          2 |         65 |         10 |          4 |         79 |
| src/types                                                                                                  |          1 |          0 |          0 |          1 |          1 |
+------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                   | language           | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| /Users/karanocave/Code/SmartLabManagement/fronted/eslint.config.js                                         | JavaScript         |         22 |          0 |          2 |         24 |
| /Users/karanocave/Code/SmartLabManagement/fronted/index.html                                               | HTML               |         13 |          0 |          1 |         14 |
| /Users/karanocave/Code/SmartLabManagement/fronted/openapitools.json                                        | JSON               |          7 |          0 |          1 |          8 |
| /Users/karanocave/Code/SmartLabManagement/fronted/package-lock.json                                        | JSON               |      7,069 |          0 |          1 |      7,070 |
| /Users/karanocave/Code/SmartLabManagement/fronted/package.json                                             | JSON               |         47 |          0 |          1 |         48 |
| /Users/karanocave/Code/SmartLabManagement/fronted/postcss.config.cjs                                       | JavaScript         |          6 |          3 |          2 |         11 |
| /Users/karanocave/Code/SmartLabManagement/fronted/public/vite.svg                                          | SVG                |          1 |          0 |          0 |          1 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/App.css                                              | PostCSS            |         37 |          0 |          6 |         43 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/App.tsx                                              | TypeScript JSX     |         26 |         14 |          8 |         48 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/api/client.ts                                        | TypeScript         |         39 |         30 |         10 |         79 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/api/index.ts                                         | TypeScript         |         38 |          5 |          4 |         47 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/assets/react.svg                                     | SVG                |          1 |          0 |          0 |          1 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/api.ts                                        | TypeScript         |      2,781 |      4,229 |        527 |      7,537 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/base.ts                                       | TypeScript         |         37 |         41 |         11 |         89 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/common.ts                                     | TypeScript         |         83 |         54 |         14 |        151 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/configuration.ts                              | TypeScript         |         39 |         71 |          6 |        116 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/AddProjectMemberDTO.md                   | Markdown           |         17 |          0 |          8 |         25 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ApiResponseAttachmentVO.md               | Markdown           |         17 |          0 |          8 |         25 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ApiResponseEquipment.md                  | Markdown           |         17 |          0 |          8 |         25 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ApiResponseExperimentRecord.md           | Markdown           |         17 |          0 |          8 |         25 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ApiResponseExperimentReportVO.md         | Markdown           |         17 |          0 |          8 |         25 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ApiResponseIPageEquipment.md             | Markdown           |         17 |          0 |          8 |         25 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ApiResponseIPageExperimentRecord.md      | Markdown           |         17 |          0 |          8 |         25 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ApiResponseIPageLab.md                   | Markdown           |         17 |          0 |          8 |         25 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ApiResponseIPageMaterial.md              | Markdown           |         17 |          0 |          8 |         25 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ApiResponseIPageProjectVO.md             | Markdown           |         17 |          0 |          8 |         25 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ApiResponseIPageResourceRequestVO.md     | Markdown           |         17 |          0 |          8 |         25 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ApiResponseIPageSafetyIncidentVO.md      | Markdown           |         17 |          0 |          8 |         25 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ApiResponseIPageSupplier.md              | Markdown           |         17 |          0 |          8 |         25 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ApiResponseIPageUserVO.md                | Markdown           |         17 |          0 |          8 |         25 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ApiResponseLab.md                        | Markdown           |         17 |          0 |          8 |         25 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ApiResponseListPermission.md             | Markdown           |         17 |          0 |          8 |         25 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ApiResponseListProjectTask.md            | Markdown           |         17 |          0 |          8 |         25 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ApiResponseListRiskAssessmentVO.md       | Markdown           |         17 |          0 |          8 |         25 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ApiResponseListRole.md                   | Markdown           |         17 |          0 |          8 |         25 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ApiResponseLoginResponseVO.md            | Markdown           |         17 |          0 |          8 |         25 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ApiResponseMaterial.md                   | Markdown           |         17 |          0 |          8 |         25 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ApiResponseObject.md                     | Markdown           |         17 |          0 |          8 |         25 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ApiResponseProjectTask.md                | Markdown           |         17 |          0 |          8 |         25 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ApiResponseProjectVO.md                  | Markdown           |         17 |          0 |          8 |         25 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ApiResponseResourceRequestVO.md          | Markdown           |         17 |          0 |          8 |         25 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ApiResponseRiskAssessmentVO.md           | Markdown           |         17 |          0 |          8 |         25 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ApiResponseRole.md                       | Markdown           |         17 |          0 |          8 |         25 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ApiResponseSafetyIncidentVO.md           | Markdown           |         17 |          0 |          8 |         25 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ApiResponseSupplier.md                   | Markdown           |         17 |          0 |          8 |         25 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ApiResponseUserVO.md                     | Markdown           |         17 |          0 |          8 |         25 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ApiResponseVoid.md                       | Markdown           |         17 |          0 |          8 |         25 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/AssignPermissionsToRoleDTO.md            | Markdown           |         15 |          0 |          8 |         23 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/AssignRolesToUserDTO.md                  | Markdown           |         15 |          0 |          8 |         23 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/AttachmentControllerApi.md               | Markdown           |         46 |          0 |         23 |         69 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/AttachmentVO.md                          | Markdown           |         27 |          0 |          8 |         35 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/AuthControllerApi.md                     | Markdown           |         40 |          0 |         23 |         63 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/Equipment.md                             | Markdown           |         35 |          0 |          8 |         43 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/EquipmentControllerApi.md                | Markdown           |        188 |          0 |         99 |        287 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/EquipmentCreateDTO.md                    | Markdown           |         25 |          0 |          8 |         33 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ExperimentRecord.md                      | Markdown           |         29 |          0 |          8 |         37 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ExperimentRecordControllerApi.md         | Markdown           |        114 |          0 |         61 |        175 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ExperimentRecordCreateDTO.md             | Markdown           |         19 |          0 |          8 |         27 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ExperimentReportControllerApi.md         | Markdown           |        114 |          0 |         61 |        175 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ExperimentReportCreateDTO.md             | Markdown           |         17 |          0 |          8 |         25 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ExperimentReportVO.md                    | Markdown           |         31 |          0 |          8 |         39 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/IPageEquipment.md                        | Markdown           |         21 |          0 |          8 |         29 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/IPageExperimentRecord.md                 | Markdown           |         21 |          0 |          8 |         29 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/IPageLab.md                              | Markdown           |         21 |          0 |          8 |         29 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/IPageMaterial.md                         | Markdown           |         21 |          0 |          8 |         29 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/IPageProjectVO.md                        | Markdown           |         21 |          0 |          8 |         29 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/IPageResourceRequestVO.md                | Markdown           |         21 |          0 |          8 |         29 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/IPageSafetyIncidentVO.md                 | Markdown           |         21 |          0 |          8 |         29 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/IPageSupplier.md                         | Markdown           |         21 |          0 |          8 |         29 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/IPageUserVO.md                           | Markdown           |         21 |          0 |          8 |         29 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/Lab.md                                   | Markdown           |         23 |          0 |          8 |         31 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/LabControllerApi.md                      | Markdown           |        185 |          0 |         99 |        284 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/LoginRequestDTO.md                       | Markdown           |         15 |          0 |          8 |         23 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/LoginResponseVO.md                       | Markdown           |         15 |          0 |          8 |         23 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/Material.md                              | Markdown           |         29 |          0 |          8 |         37 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/MaterialControllerApi.md                 | Markdown           |        151 |          0 |         80 |        231 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/MaterialStockAdjustDTO.md                | Markdown           |         19 |          0 |          8 |         27 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/PageRequestDTO.md                        | Markdown           |         15 |          0 |          8 |         23 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/Permission.md                            | Markdown           |         19 |          0 |          8 |         27 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/PermissionControllerApi.md               | Markdown           |         34 |          0 |         21 |         55 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ProjectControllerApi.md                  | Markdown           |        259 |          0 |        137 |        396 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ProjectCreateDTO.md                      | Markdown           |         21 |          0 |          8 |         29 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ProjectMemberVO.md                       | Markdown           |         17 |          0 |          8 |         25 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ProjectTask.md                           | Markdown           |         29 |          0 |          8 |         37 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ProjectTaskControllerApi.md              | Markdown           |        149 |          0 |         80 |        229 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ProjectTaskCreateDTO.md                  | Markdown           |         21 |          0 |          8 |         29 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ProjectTaskUpdateDTO.md                  | Markdown           |         21 |          0 |          8 |         29 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ProjectUpdateDTO.md                      | Markdown           |         25 |          0 |          8 |         33 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ProjectVO.md                             | Markdown           |         31 |          0 |          8 |         39 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ReportVersionCreateDTO.md                | Markdown           |         13 |          0 |          8 |         21 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ResourceRequestApproveDTO.md             | Markdown           |         17 |          0 |          8 |         25 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ResourceRequestControllerApi.md          | Markdown           |        147 |          0 |         80 |        227 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ResourceRequestCreateDTO.md              | Markdown           |         23 |          0 |          8 |         31 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ResourceRequestQueryDTO.md               | Markdown           |         19 |          0 |          8 |         27 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ResourceRequestVO.md                     | Markdown           |         41 |          0 |          8 |         49 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/RiskAssessmentControllerApi.md           | Markdown           |        110 |          0 |         61 |        171 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/RiskAssessmentCreateDTO.md               | Markdown           |         21 |          0 |          8 |         29 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/RiskAssessmentVO.md                      | Markdown           |         29 |          0 |          8 |         37 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/Role.md                                  | Markdown           |         17 |          0 |          8 |         25 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/RoleControllerApi.md                     | Markdown           |        106 |          0 |         59 |        165 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/RoleCreateDTO.md                         | Markdown           |         15 |          0 |          8 |         23 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/SafetyIncidentControllerApi.md           | Markdown           |        111 |          0 |         61 |        172 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/SafetyIncidentCreateDTO.md               | Markdown           |         19 |          0 |          8 |         27 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/SafetyIncidentVO.md                      | Markdown           |         29 |          0 |          8 |         37 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/Supplier.md                              | Markdown           |         25 |          0 |          8 |         33 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/SupplierControllerApi.md                 | Markdown           |        185 |          0 |         99 |        284 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/UploadAttachmentRequest.md               | Markdown           |         13 |          0 |          8 |         21 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/UserControllerApi.md                     | Markdown           |        221 |          0 |        118 |        339 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/UserCreateDTO.md                         | Markdown           |         23 |          0 |          8 |         31 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/UserUpdateDTO.md                         | Markdown           |         21 |          0 |          8 |         29 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/UserVO.md                                | Markdown           |         29 |          0 |          8 |         37 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/client/index.ts                                      | TypeScript         |          2 |         13 |          4 |         19 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/components/common/ConfirmationDialog.tsx             | TypeScript JSX     |         70 |         10 |          7 |         87 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/components/common/DataTable.tsx                      | TypeScript JSX     |        100 |         14 |         11 |        125 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/components/common/PageHeader.tsx                     | TypeScript JSX     |         36 |          7 |          5 |         48 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/components/layout/AuthLayout.tsx                     | TypeScript JSX     |         25 |         10 |          5 |         40 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/components/layout/DashboardLayout.tsx                | TypeScript JSX     |        141 |          8 |         11 |        160 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/components/specific/equipment/EquipmentForm.tsx      | TypeScript JSX     |        101 |         10 |         10 |        121 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/components/specific/lab/LabForm.tsx                  | TypeScript JSX     |         81 |          9 |          9 |         99 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/components/specific/material/MaterialForm.tsx        | TypeScript JSX     |         91 |         10 |         10 |        111 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/components/specific/resource/ResourceRequestForm.tsx | TypeScript JSX     |        120 |          6 |         10 |        136 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/components/specific/role/RoleForm.tsx                | TypeScript JSX     |         63 |          8 |          9 |         80 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/components/specific/safety/SafetyIncidentForm.tsx    | TypeScript JSX     |         81 |          6 |          9 |         96 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/components/specific/supplier/SupplierForm.tsx        | TypeScript JSX     |        111 |         17 |          9 |        137 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/components/specific/user/UserForm.tsx                | TypeScript JSX     |        149 |          9 |         11 |        169 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/index.css                                            | PostCSS            |         62 |          0 |          9 |         71 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/main.tsx                                             | TypeScript JSX     |          6 |          1 |          1 |          8 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/pages/NotFoundPage.tsx                               | TypeScript JSX     |         52 |          4 |          5 |         61 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/pages/audit/LogPage.tsx                              | TypeScript JSX     |          0 |          0 |          1 |          1 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/pages/auth/LoginPage.tsx                             | TypeScript JSX     |        104 |         26 |         15 |        145 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/pages/dashboard/OverviewPage.tsx                     | TypeScript JSX     |        124 |         12 |         15 |        151 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/pages/management/LabPage.tsx                         | TypeScript JSX     |        124 |         10 |         17 |        151 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/pages/management/RolePage.tsx                        | TypeScript JSX     |        169 |         13 |         20 |        202 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/pages/management/SupplierPage.tsx                    | TypeScript JSX     |        125 |         13 |         18 |        156 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/pages/management/UserPage.tsx                        | TypeScript JSX     |        149 |         10 |         17 |        176 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/pages/project/ProjectListPage.tsx                    | TypeScript JSX     |        117 |         20 |         15 |        152 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/pages/project/detail/index.tsx                       | TypeScript JSX     |         96 |         14 |         15 |        125 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/pages/project/detail/tabs/OverviewTab.tsx            | TypeScript JSX     |        111 |         17 |         12 |        140 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/pages/project/detail/tabs/RecordsTab.tsx             | TypeScript JSX     |        116 |         13 |         12 |        141 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/pages/project/detail/tabs/ReportsTab.tsx             | TypeScript JSX     |         92 |         16 |         12 |        120 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/pages/project/detail/tabs/RiskAssessmentsTab.tsx     | TypeScript JSX     |        119 |         13 |         12 |        144 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/pages/project/detail/tabs/TasksTab.tsx               | TypeScript JSX     |        135 |         19 |         16 |        170 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/pages/resource/EquipmentPage.tsx                     | TypeScript JSX     |        105 |         11 |         14 |        130 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/pages/resource/MaterialPage.tsx                      | TypeScript JSX     |        113 |         11 |         14 |        138 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/pages/resource/RequestPage.tsx                       | TypeScript JSX     |        122 |         12 |         14 |        148 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/pages/safety/IncidentPage.tsx                        | TypeScript JSX     |         83 |         10 |         12 |        105 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/router/ProtectedRoute.tsx                            | TypeScript JSX     |         12 |         18 |          6 |         36 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/router/index.tsx                                     | TypeScript JSX     |         65 |         24 |         11 |        100 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/router/paths.ts                                      | TypeScript         |         29 |         18 |         10 |         57 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/store/authStore.ts                                   | TypeScript         |         29 |         28 |          7 |         64 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/store/userStore.ts                                   | TypeScript         |          0 |          0 |          1 |          1 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/styles/global.css                                    | PostCSS            |          0 |          0 |          1 |          1 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/styles/theme.ts                                      | TypeScript         |         65 |         10 |          3 |         78 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/types/index.ts                                       | TypeScript         |          0 |          0 |          1 |          1 |
| /Users/karanocave/Code/SmartLabManagement/fronted/src/vite-env.d.ts                                        | TypeScript         |          0 |          1 |          1 |          2 |
| /Users/karanocave/Code/SmartLabManagement/fronted/tailwind.config.cjs                                      | JavaScript         |         13 |          6 |          0 |         19 |
| /Users/karanocave/Code/SmartLabManagement/fronted/tsconfig.app.json                                        | JSON               |         23 |          2 |          3 |         28 |
| /Users/karanocave/Code/SmartLabManagement/fronted/tsconfig.json                                            | JSON with Comments |          7 |          3 |          1 |         11 |
| /Users/karanocave/Code/SmartLabManagement/fronted/tsconfig.node.json                                       | JSON               |         21 |          2 |          3 |         26 |
| /Users/karanocave/Code/SmartLabManagement/fronted/vite.config.ts                                           | TypeScript         |         15 |          8 |          2 |         25 |
| Total                                                                                                      |                    |     17,563 |      4,949 |      2,824 |     25,336 |
+------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
